   0.00000000000000000000         4.54511921287479069176E-0025   2.03734486946552806607E-0018   2.03734532397744935351E-0018
   5.00000000000000000041E-0010   1.81799286246441494417E-0024   2.03734419847763706673E-0018   2.03734601647049953106E-0018
   1.00000000000000000008E-0009   4.09044029891921824981E-0024   2.03734285566437975303E-0018   2.03734694610467867225E-0018
   1.50000000000000000012E-0009   7.27185001220935302190E-0024   2.03734084289993092844E-0018   2.03734811474994313775E-0018
   2.00000000000000000016E-0009   1.13622161010573044904E-0023   2.03733816299551608311E-0018   2.03734952521161714041E-0018
   2.50000000000000000020E-0009   1.63615309871897806691E-0023   2.03733481969935341442E-0018   2.03735118123034060415E-0018
   3.00000000000000000024E-0009   2.22697854228449758165E-0023   2.03733081769657635772E-0018   2.03735308748199920261E-0018
   3.50000000000000000029E-0009   2.90869684999476748576E-0023   2.03732616260913674534E-0018   2.03735524957763669307E-0018
   4.00000000000000000033E-0009   3.68130676609519286937E-0023   2.03732086099568835857E-0018   2.03735767406334931059E-0018
   4.50000000000000000037E-0009   4.54480687113509815539E-0023   2.03731492035145100345E-0018   2.03736036842016235447E-0018
   5.00000000000000000041E-0009   5.49919558338540821558E-0023   2.03730834910805479126E-0018   2.03736334106388864536E-0018
   5.50000000000000000045E-0009   6.54447116042297617142E-0023   2.03730115663336472256E-0018   2.03736660134496895240E-0018
   6.00000000000000000049E-0009   7.68063170088151129528E-0023   2.03729335323128528736E-0018   2.03737015954829410250E-0018
   6.50000000000000000053E-0009   8.90767514636905551405E-0023   2.03728495014154513820E-0018   2.03737402689300882878E-0018
   7.00000000000000000057E-0009   1.02255992835519521494E-0022   2.03727595953946149368E-0018   2.03737821553229701314E-0018
   7.50000000000000000021E-0009   1.16344017464052456595E-0022   2.03726639453568430907E-0018   2.03738273855314836156E-0018
   8.00000000000000000065E-0009   1.31340800186294462585E-0022   2.03725626917591991688E-0018   2.03738760997610621131E-0018
   8.50000000000000000110E-0009   1.47246314362335883669E-0022   2.03724559844063396459E-0018   2.03739284475499630055E-0018
   9.00000000000000000154E-0009   1.64060531902845071809E-0022   2.03723439824473364255E-0018   2.03739845877663648762E-0018
   9.50000000000000000199E-0009   1.81783423298222524520E-0022   2.03722268543722865058E-0018   2.03740446886052687306E-0018
   1.00000000000000000024E-0008   2.00414957649415541492E-0022   2.03721047780087108459E-0018   2.03741089275852050020E-0018
   1.05000000000000000029E-0008   2.19955102700392494086E-0022   2.03719779405177366352E-0018   2.03741774915447405597E-0018
   1.10000000000000000033E-0008   2.40403824872275756608E-0022   2.03718465383900633026E-0018   2.03742505766387860601E-0018
   1.15000000000000000038E-0008   2.61761089299132298827E-0022   2.03717107774417078991E-0018   2.03743283883346992220E-0018
   1.20000000000000000042E-0008   2.84026859865420890699E-0022   2.03715708728095281716E-0018   2.03744111414081823800E-0018
   1.25000000000000000047E-0008   3.07201099245094822450E-0022   2.03714270489465198730E-0018   2.03744990599389708218E-0018
   1.30000000000000000051E-0008   3.31283768942358996670E-0022   2.03712795396168864567E-0018   2.03745923773063100466E-0018
   1.35000000000000000055E-0008   3.56274829334080198513E-0022   2.03711285878908764575E-0018   2.03746913361842172604E-0018
   1.40000000000000000060E-0008   3.82174239713849304105E-0022   2.03709744461393873992E-0018   2.03747961885365258929E-0018
   1.45000000000000000064E-0008   4.08981958337694140560E-0022   2.03708173760283311198E-0018   2.03749071956117080620E-0018
   1.50000000000000000069E-0008   4.36697942471441660757E-0022   2.03706576485127584416E-0018   2.03750246279374728590E-0018
   1.55000000000000000073E-0008   4.65322148439728051028E-0022   2.03704955438307392565E-0018   2.03751487653151365363E-0018
   1.60000000000000000078E-0008   4.94854531676655341675E-0022   2.03703313514969933043E-0018   2.03752798968137598578E-0018
   1.65000000000000000082E-0008   5.25295046778093043155E-0022   2.03701653702962705786E-0018   2.03754183207640515091E-0018
   1.70000000000000000087E-0008   5.56643647555623284079E-0022   2.03699979082764742577E-0018   2.03755643447520304908E-0018
   1.75000000000000000091E-0008   5.88900287092127880296E-0022   2.03698292827415244178E-0018   2.03757182856124456970E-0018
   1.80000000000000000095E-0008   6.22064917799015716111E-0022   2.03696598202439580664E-0018   2.03758804694219482228E-0018
   1.85000000000000000100E-0008   6.56137491475088776756E-0022   2.03694898565772597075E-0018   2.03760512314920105947E-0018
   1.90000000000000000104E-0008   6.91117959367045116338E-0022   2.03693197367679206236E-0018   2.03762309163615910744E-0018
   1.95000000000000000109E-0008   7.27006272231617009838E-0022   2.03691498150672200540E-0018   2.03764198777895362243E-0018
   2.00000000000000000113E-0008   7.63802380399342482519E-0022   2.03689804549427253739E-0018   2.03766184787467187993E-0018
   2.05000000000000000118E-0008   8.01506233839968371171E-0022   2.03688120290695060434E-0018   2.03768270914079057269E-0018
   2.10000000000000000122E-0008   8.40117782229483016197E-0022   2.03686449193210551707E-0018   2.03770460971433499999E-0018
   2.15000000000000000127E-0008   8.79636975018776655313E-0022   2.03684795167599168515E-0018   2.03772758865101046173E-0018
   2.20000000000000000131E-0008   9.20063761503927520607E-0022   2.03683162216280110703E-0018   2.03775168592430503462E-0018
   2.25000000000000000135E-0008   9.61398090898111618530E-0022   2.03681554433366525287E-0018   2.03777694242456336447E-0018
   2.30000000000000000140E-0008   1.00363991240513410976E-0021   2.03679976004562585004E-0018   2.03780339995803098419E-0018
   2.35000000000000000144E-0008   1.04678917529458017473E-0021   2.03678431207057399493E-0018   2.03783110124586857508E-0018
   2.40000000000000000149E-0008   1.09084582897858319223E-0021   2.03676924409415693552E-0018   2.03786008992313551872E-0018
